,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
350,81.01380961764771,0.06697202247139918,-0.31083102142811203,0.0610414193296831,3221354256596018944,2.9259621500286426,0.08909575702647811,0.9427431130215964,0.1461722635806818,-0.07651164858294157,0.11978642039034268,-0.3494638,-0.42376855,0.15297209,0.13226427,0.32479388,-0.32813495,-0.13840012,-0.058666833,-0.29876903,0.26275498,0,3976.7536942017628,6.208281891442781,16.689545000000003,736.1722312943034,7.627106781951093,18.183939000000002,5129.3447547196865,24.909365350901464,15.486765,2.697174,,,3700.55,0.544,0.3167,,,0.977367927077,0.10181924882629108,3408,1
353,80.89284193186803,0.05155973476425643,0.24237715536803664,0.046388237110391424,3221453556239827584,2.746231957780574,0.061157552650177964,1.4665967506147393,0.1006898072569249,-0.21146180340141385,0.08507500562605406,-0.3953709,-0.46352488,0.14227211,0.26259008,0.18622398,-0.30363858,-0.25320357,0.15612224,-0.17486875,0.23451029,0,13061.061369395968,23.380370519758838,15.398419,3277.162578485486,31.242003350614905,16.562642999999998,15068.960450526565,71.70427030452848,14.316710999999998,2.2459316000000005,,,3546.0,,,1.047731,0.15636851,1.07628780886,0.2227112676056338,3408,1
382,80.76714118268397,0.12383355195639068,0.004860849407318893,0.10704583422390647,3221423384093809024,2.9476725141453457,0.15247421710548534,1.3632711276284064,0.267461827189712,-0.0620426908325683,0.20738403762019111,-0.28797156,-0.38651085,0.16485392,0.05246492,0.26496729999999996,-0.15487319,0.0078366725,-0.022280846,-0.24923016,0.22829808,0,1256.4247939360675,2.696120511146961,17.940525,162.24395951777177,8.174504673798822,19.825966,1843.0020275053173,15.979655247912474,16.598106,3.2278595,,,,,,,,0.846872364782,0.14759389671361503,3408,1
383,80.85108694013945,0.07708804736483763,0.26174748715809104,0.07014155585076291,3221454479657428736,2.8747632826247624,0.09698513885555607,1.6114094342910807,0.15990429238675866,-0.23298518123383394,0.14963279341039262,-0.38438782,-0.37677553,0.16990373,0.3249008,0.1127211,-0.47090617,-0.33749172,0.123986855,-0.1616351,0.2337019,0,5281.756322598954,9.059522630506683,16.381420000000002,918.8306869496477,20.232892063079017,17.9433,6936.242801001492,35.530314773604175,15.159108999999999,2.7841911,,,3661.455,0.7183,0.4223,0.57216954,0.05301015,1.03896155529,0.19806338028169015,3408,1
384,80.81613398655907,0.0772061283074399,0.4823140751450156,0.07167735981332576,3221477779855228416,2.779442763162663,0.0978113983049533,1.4660047241547305,0.15434491556387245,-0.26729727784768803,0.1281328498778422,-0.4453799,-0.40095347,0.17704937,0.29847375,0.06792026,-0.23981455,-0.16998497,0.17854598,0.035283435,0.2101413,0,4921.64252717121,5.697070152743707,16.45809,923.844035231156,14.662730209281785,17.937391,6322.886078738124,19.297743238444287,15.259631,2.6777601000000004,,,3732.0,,,0.5364055,0.050286073,1.07461318838,0.24706572769953053,3408,1
434,82.48160295199672,0.08366580576300847,0.22539234494243776,0.07758142262298941,3221033370999307776,2.8463904567589764,0.08708241915750496,1.06505839509681,0.17343347798092884,0.006509046221296881,0.1564460339171298,-0.19067086,-0.46178496,0.31493000000000004,0.093028426,0.027332633999999998,-0.3898292,-0.40198153,0.120627254,-0.27599373,0.33029395,0,8309.992898501925,15.113914061718207,15.889364000000002,1676.3571023195805,46.480505853974506,17.290472,11445.10164659245,220.5810809423993,14.615371,2.6751012999999997,,,3695.855,,,0.70280397,0.08302767,1.29709999041,0.12881455399061034,3408,1
442,82.5887793731096,0.09680114696492194,0.7540374058796344,0.09397223572568754,3221160845628179072,2.7473974029325747,0.12125292269060944,1.7050104180271737,0.20050225617868012,-0.3154228641643539,0.1955626116661441,-0.45395070000000004,-0.32013485,0.046498124,0.31314912,0.09896564,-0.37125227,-0.27665186,0.16686648,-0.1393647,0.13724275,0,2433.28891420925,3.8681625775081567,17.222881,352.8604862212468,12.222080950912833,18.98238,3379.7662367315675,15.105426626494534,15.939703,3.042677,,,,,,,,0.961947572087,0.11883802816901408,3408,1
451,82.15731936134152,0.09375661584595038,0.4373740065140661,0.08738859750093345,3221055739189220352,2.7953514051304698,0.10162924064407296,1.148115116503835,0.17966922069103833,-0.16815880398443492,0.15290074737958742,-0.24986328,-0.50100154,0.34147796,0.042361605999999996,0.12532929,-0.24650049,-0.3509516,0.19014731,-0.22711849,0.39147532,0,3706.421994801505,4.944300939915365,16.765978,530.3046002786308,8.648968992176828,18.540075,5257.756659742666,17.729375247113733,15.459919000000001,3.0801562999999996,,,4422.165,0.7977,0.445,,,0.960353265233,0.2106807511737089,3408,1
452,82.24393263897126,0.11076643171309322,1.1824103701787618,0.10234684519621567,3221985371974728832,2.9572232623073016,0.12921537293405722,1.8320673915749397,0.20217342561581225,-0.2844510306015925,0.17061043557032793,-0.45047998,-0.41327992,0.2742166,0.14921007,0.20252775,-0.31059915,-0.41881555,0.2601911,-0.20215276,0.43709284,0,2534.198064376123,3.838806449013049,17.178764,362.41277979935717,9.82769214430876,18.953379,3550.909212135446,20.9542911308358,15.886071,3.0673075,,,,,,,,1.0582584211,0.1675469483568075,3408,1
475,82.2269531685844,0.11824199326886264,0.6411307079510259,0.11105368330533352,3221904424727241856,2.8898288245534247,0.14226400370926645,1.652374002918653,0.23839368066384065,-0.14694131706629265,0.2004405890828028,-0.38180727,-0.49195158,0.27465984,0.20921108,0.12328098,-0.39012143,-0.31367984,-0.0027345311999999997,-0.20316471,0.3111658,0,2144.174799203429,2.856079447608141,17.360216,324.5709823620242,12.892406662997805,19.073114,3026.1006101319185,13.047993144778061,16.059711,3.013403,,,,,,,,1.03723937841,0.19395539906103287,3408,1
