,object_id,gid,density,,duplicated_source,dec_error,ra,dec,phot_bp_mean_mag_error,phot_rp_mean_mag,lum_val,b,phot_g_mean_mag,ra_error,pmra_error,radial_velocity_error,phot_bp_mean_mag,phot_rp_mean_flux,pmra,l,source_id,phot_g_mean_flux,teff_val,e_bp_min_rp_val,bp_rp,pmdec_error,radial_velocity,radius_val,pmdec,phot_g_mean_flux_error,parallax,phot_bp_mean_flux_error,phot_bp_mean_flux,phot_rp_mean_mag_error,phot_rp_mean_flux_error,a_g_val,phot_g_mean_mag_error,parallax_error,plx
5301,5301,1,888.04565,7354,0,0.0874,84.31726427372,-1.25940542847,0.0218,15.1875,,-17.03602014406,16.445,0.0798,0.15,,18.0626,6757.39675383371,1.921,205.39508095763,3217399004033825280,4981.123545625041,3968.67,0.4053,2.8751,0.13,,,-1.209,7.498933886390732,2.7794,16.560672552538875,823.2270494629618,0.0041,25.44385184665429,0.7742,0.0016,0.0994,2.7794
4750,4750,1,834.79926,6739,0,0.0736,84.60430486051,-2.22118206676,0.0182,14.8698,0.092,-17.23260406596,16.0661,0.0662,0.122,,17.5187,9053.805548944942,1.7830000000000001,206.42501155904,3216517264427361920,7061.841989101502,3523.0,,2.6489,0.11,,0.81,-1.415,7.135138084381535,2.6551,22.745941139384165,1358.5333895094893,0.0032,26.4694111076696,,0.0011,0.0947,2.6551
4093,4093,1,823.7232,5959,0,0.0179,81.39444913332,-2.27151251508,0.0065,12.5028,0.586,-20.08984714285,13.2629,0.0178,0.039,,13.9067,80105.160390137,0.995,204.8857898305,3214074458828380928,93367.28408153787,4680.95,,1.404,0.035,,1.16,-1.255,122.90856097867731,2.7499,225.30060776849828,37832.652453129886,0.0039,290.7220878667076,,0.0014,0.0256,2.7499
4745,4745,1,819.1625,6733,0,0.0584,84.78870207346999,-2.32028662372,0.0096,14.1943,0.192,-17.11564246784,15.2812,0.0443,0.083,,16.4734,16868.0689593375,1.87,206.60657367507,3216512007387382912,14549.931733386376,3499.67,,2.2792,0.08199999999999999,,1.19,-1.489,21.27822861601532,2.6605,31.58317043612822,3557.8680186458805,0.0041,63.40270948992904,,0.0016,0.0678,2.6605
6835,6835,1,816.6183,9211,0,0.068,81.15169285365,1.76224295396,0.0187,15.0874,,-18.36108237571,16.2948,0.0802,0.157,,17.7184,7409.754787593721,1.545,201.01717688066003,3222275196367385472,5720.6069508082655,3947.43,,2.631,0.14,,,0.26899999999999996,6.6596576467601,2.9127,19.454152870832218,1130.2917719423172,0.0036,24.256487382632628,,0.0013,0.0898,2.9127
6724,6724,1,815.2112,9088,0,0.0582,80.9155405298,1.5799896788699999,0.0215,15.2267,,-18.65619895036,16.4328,0.0702,0.15,,17.9236,6517.71004833343,1.268,201.06244765672,3222176996235039232,5037.666214367285,3837.83,,2.6969,0.12300000000000001,,,0.175,7.187404616612348,2.8977,18.53801898943543,935.6808265538552,0.0075,45.185118341978246,,0.0015,0.0838,2.8977
5523,5523,1,787.6363,7594,0,0.0788,84.3776360533,-1.14813419387,0.0406,15.2525,,-16.93040963609,16.5009,0.0794,0.163,,18.0306,6364.520511469155,1.8730000000000002,205.32210710442,3217681612882050304,4731.4225389588755,4038.51,0.5302,2.7781,0.146,,,-1.199,7.784132609002744,2.765,31.718476707479763,847.8558707214247,0.004,23.54927661261157,0.918,0.0018,0.0973,2.765
6830,6830,1,774.1211,9205,0,0.0168,81.32107448112,1.8061917231,0.0065,12.3275,0.62,-18.192002722610003,13.0468,0.0182,0.036000000000000004,3.87,13.6395,94135.17281336033,1.4580000000000002,201.06434339495,3222269290788377344,113925.81950604846,4923.0,0.536,1.3119,0.035,20.64,1.08,0.038,165.56462022395732,2.8563,287.84913786781897,48391.431563330516,0.0036,316.0582381205843,1.0703,0.0016,0.0213,2.8563
7552,7552,1,773.61224,10233,0,0.0565,82.4848412993,3.64324608299,0.0097,14.5855,0.126,-16.27539822765,15.7022,0.0589,0.10400000000000001,,16.9726,11764.429595761674,1.531,199.99010231176,3236037096217762304,9873.254387602252,3438.33,,2.3871,0.08900000000000001,,1.0,-0.622,10.109760213729023,2.7749,20.043870129562613,2246.619288868736,0.0033,35.60798206283326,,0.0011,0.0707,2.7749
6828,6828,1,747.9418,9202,0,0.0179,81.28645955393,1.7650387114400001,0.0071,12.8657,0.40700000000000003,-18.24233931746,13.673,0.0196,0.038,,14.3822,57345.8672005292,1.3980000000000001,201.08423001945,3222268844111791616,63993.58170150624,4468.0,,1.5165,0.033,,1.06,0.366,90.68942931866148,2.8417,159.27842777841678,24416.30825798114,0.0054,286.55336567018134,,0.0015,0.0228,2.8417
