,Unnamed: 0,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
262,1107,82.7201192255632,0.07455558145102299,2.09474091396642,0.071235222692366,3.22357987428925e+18,2.80027324935358,0.09839484964481099,1.6116350586768702,0.132164132982936,-0.950621229745485,0.11091035875254501,-0.52126765,-0.50418025,0.08582631,0.26622209999999996,0.33719683,-0.22919236,-0.4068744,0.34021837,-0.18152408,0.3769305,0,8310.52208265856,34.752162652878496,15.889295,1656.09649515836,39.7245333673661,17.303675,10458.2229417342,118.063399542341,14.713275,2.5903997000000003,,,3678.0,,,0.7259103,0.08687755,1.11083063477,0.22811671087533197,3393,1
263,1108,82.6318926595689,0.032680981137680996,2.05143023885517,0.031516775047016006,3.22355664710616e+18,2.64501662185334,0.038972423033875,1.6120998132996398,0.05895690332246901,-0.397964766907229,0.050966221957382,-0.40880668,-0.58393854,0.18823310000000001,0.20109501,0.26265377,-0.37397020000000003,-0.5028226,0.26191887,-0.30132878,0.36908168,0,36510.9133421117,539.4400083621019,14.282309,12812.8390393493,924.517263458491,15.082273999999998,36038.0791840677,1386.2979567913198,13.370016,1.7122582999999998,,,4190.4053,1.7819999999999998,0.9077,1.0505582,0.30659077,1.08718746164,0.14028882994400196,3393,1
264,1109,82.67885955259109,0.069709982271635,2.16253895821046,0.06466243431991299,3.22376885285005e+18,2.8054206000240396,0.08233818593936,1.70835666889814,0.127201562831584,-0.07848674252652299,0.103284608526271,-0.45961452,-0.5106069000000001,0.29269029999999996,0.08718619,0.27638716,-0.37271965,-0.48026103,0.15027745,-0.38349724,0.5048152,0,8429.11998946735,21.981675583221197,15.87391,1921.08911818663,42.484975088009996,17.142519,10012.6969949227,73.11843952317359,14.760542000000001,2.381977,,,4008.9277,,,0.54968476,0.07031291,1.0312665924200002,0.314765694076039,3393,1
265,1110,82.2465070585543,0.035005915596403,2.0802612546206696,0.030586696486037002,3.22375338667269e+18,2.9106364725438603,0.040531202357032996,1.05729142985345,0.076169277057156,0.05426216260713,0.06758183744016501,-0.24874738,-0.30062658,-0.093660094,0.26033726,-0.11090181,-0.37685799999999997,-0.22899283,0.29202867,-0.060051244000000004,-0.07645956400000001,0,219249.51942035602,261.790249866097,12.3360195,103825.18151023099,422.775541396203,12.810632,164996.434943991,508.28163406894004,11.718233999999999,1.0923976999999998,22.032838810128798,5.53103532944845,5050.6,0.9129999999999999,0.455,1.3801896999999999,1.1167197,1.01790599474,0.42558208075449494,3393,1
266,1112,82.44956154189771,0.11884764087827,2.22302195977965,0.110642238086997,3.22375040167042e+18,2.88975395265268,0.12541354434542698,1.06937909188571,0.21048584528304604,-0.08730039680382598,0.179478593833386,-0.37055679999999996,-0.5628678,0.31853363,0.13870338,0.23565248,-0.3786151,-0.5141172,0.24778192,-0.34923846,0.46838868,0,2745.97131019463,4.15456401819507,17.091625,397.08842627022995,9.974944220366849,18.85417,3782.8450543744502,17.5732945523394,15.817373000000002,3.0367966,,,,,,,,1.06317568525,0.227232537577365,3393,1
267,1116,82.3208393062722,0.068240542173548,2.15327530968472,0.06259759842012201,3.22375988066337e+18,2.7718144026791096,0.076760401147804,1.45814726187579,0.137459881292675,-0.383471676670075,0.127843823827324,-0.261687,-0.41552413,0.15242888,0.22377491,0.06021743,-0.35928965,-0.30537623,0.21993520000000003,-0.21439417,0.19534874,0,7057.66488876028,8.35541324610017,16.066713,1342.87320587541,14.7339646100353,17.531301000000003,8898.64399515184,27.4771404874958,14.888611,2.6426907,,,4001.46,,,0.51226515,0.06061194,1.12337480392,0.345122310639552,3393,1
268,1117,82.3040912773007,0.12477391381108198,1.9619808173028002,0.11843236850301199,3.22373669213486e+18,2.69256421172554,0.155862113627519,1.80590871706527,0.263901697865353,-0.7045699549847501,0.20795542735321104,-0.54347384,-0.35532343,0.091370516,0.32422979999999996,-0.0031036867,-0.37775984,-0.290479,0.14521319,0.13040194,0.09156651,0,2599.6099081841,5.36255347258536,17.151094,407.101965828069,17.8517064313598,18.82713,3507.3135786755497,19.8785942394038,15.899484,2.9276457000000002,,,,,,,,1.15050580304,0.122310639552019,3393,1
269,1121,82.18960373217709,0.031030086266809,2.24216207047287,0.029761661957889,3.22376459224239e+18,2.89763381869772,0.038627113547063996,1.8084241429793,0.062109604135747,-0.4277354287314,0.05780449645546299,-0.37307763,-0.3771761,0.16447076,0.27790329999999996,0.07527601,-0.26434767,-0.20184903,0.18050739999999998,-0.08576308,0.21546032,0,25446.563245951802,52.0079106458702,14.674292999999999,7789.387028407979,74.39965913314279,15.62263,26340.7134495362,257.177953551333,13.710351000000001,1.9122791000000001,,,3901.5566,,,1.0104061,0.21312691,1.0073773445,0.399941055113469,3393,1
270,1124,82.37199067260791,0.124579963016313,2.1247621258932297,0.11945060214279801,3.22374796212901e+18,2.97543593358777,0.14090511782287699,1.82945027938739,0.222420777353703,-0.18513067803215197,0.190965237814496,-0.45258492,-0.48807648,0.19384006,0.21824647,0.17992336,-0.35483918,-0.49608237,0.32397800000000004,-0.14482844,0.3554613,0,2275.94643977328,4.284193673137549,17.295460000000002,306.457381198196,7.87379858138053,19.135464000000002,3206.4636063243297,10.5854313140348,15.996854,3.13861,,,,,,,,1.08318226532,0.193928676687297,3393,1
271,1126,82.3172335650266,0.041700972665026,2.34350783346271,0.039969040436676,3.22376696306431e+18,2.93833507188846,0.043109481228811,1.8032649162449,0.078573128899825,-0.344059400497906,0.066518935519665,-0.17410250000000002,-0.6248815,0.46147093,0.008403942,0.29695648,-0.40940407,-0.46262079999999994,0.020767437,-0.42932436,0.54094666,0,19886.4349717615,89.8519363967904,14.941973999999998,5655.194328858161,104.725296417731,15.970269,21719.9343654423,205.22558440587898,13.919773999999999,2.0504951,,,4000.95,,,0.8115044,0.15202989,0.9451337370239999,0.360447981137636,3393,1
